database,source_row,source_id,title,authors,normalized_title,normalized_authors,year,doi,publication_title,document_type,url
ieee,59,ieee:row:59,Timing analysis of esterel programs on general-purpose multiprocessors,L. Ju; B. K. Huynh; A. Roychoudhury; S. Chakraborty,timing analysis of esterel programs on general purpose multiprocessors,l ju b k huynh a roychoudhury s chakraborty,2010,,Design Automation Conference,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5523307
ieee,60,10.1109/DATE.2009.5090916,Separate compilation and execution of imperative synchronous modules,E. Vecchie; J. -P. Talpin; K. Schneider,separate compilation and execution of imperative synchronous modules,e vecchie j p talpin k schneider,2009,10.1109/DATE.2009.5090916,"2009 Design, Automation & Test in Europe Conference & Exhibition",IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5090916
ieee,61,ieee:row:61,Synchronous control of reconfiguration in fractal component-based systems - A case study,T. Bouhadiba; Q. Sabah; G. Delaval; E. Rutten,synchronous control of reconfiguration in fractal component based systems a case study,t bouhadiba q sabah g delaval e rutten,2011,,2011 Proceedings of the Ninth ACM International Conference on Embedded Software (EMSOFT),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064539
ieee,62,10.1109/EUC57774.2022.00028,From Distributed Sensing to Virtual Sensors: a Domain-Specific Language for Reactive Centralized Edge-Fog-Cloud Computation,A. Damiani; M. Rabozzi; K. M. Chen; L. Di Tucci; M. D. Santambrogio,from distributed sensing to virtual sensors a domain specific language for reactive centralized edge fog cloud computation,a damiani m rabozzi k m chen l di tucci m d santambrogio,2022,10.1109/EUC57774.2022.00028,2022 IEEE 20th International Conference on Embedded and Ubiquitous Computing (EUC),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10086215
ieee,63,10.1109/ACSD.2013.30,Precision Timed Embedded Systems Using TickPAD Memory,M. Kuo; P. Roop; S. Andalam; N. Patel,precision timed embedded systems using tickpad memory,m kuo p roop s andalam n patel,2013,10.1109/ACSD.2013.30,2013 13th International Conference on Application of Concurrency to System Design,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6598356
ieee,64,10.1109/ICCVW69036.2025.00298,PyroFocus: A Deep Learning Approach to Real-Time Wildfire Detection in Multispectral Remote Sensing Imagery,M. Moussa; A. Williams; S. Roffe; D. Morton,pyrofocus a deep learning approach to real time wildfire detection in multispectral remote sensing imagery,m moussa a williams s roffe d morton,2025,10.1109/ICCVW69036.2025.00298,2025 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11375286
ieee,65,10.1109/MEMCOD.2008.4547685,Rule-Based Approaches for Equivalence Checking of SpecC Programs,S. Shankar; M. Fujita,rule based approaches for equivalence checking of specc programs,s shankar m fujita,2008,10.1109/MEMCOD.2008.4547685,2008 6th ACM/IEEE International Conference on Formal Methods and Models for Co-Design,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4547685
ieee,66,10.1109/WF-PST65083.2025.00032,SmartWall: An Infrastructure for Sensory and Computation-Capable Buildings Using Sustainable and Low-Cost Smart Materials,M. I. Hossain; S. N. Zisad; N. Uddin; R. Hasan,smartwall an infrastructure for sensory and computation capable buildings using sustainable and low cost smart materials,m i hossain s n zisad n uddin r hasan,2025,10.1109/WF-PST65083.2025.00032,2025 IEEE World Forum on Public Safety Technology (WF-PST),IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11415907
ieee,67,10.1109/ICPICS66386.2025.11347258,Design of an Autonomous Intelligent Vehicle Based on Nonlinear PID Control,C. Yu; Y. Li; T. Yan; J. Zhang,design of an autonomous intelligent vehicle based on nonlinear pid control,c yu y li t yan j zhang,2025,10.1109/ICPICS66386.2025.11347258,"2025 IEEE 7th International Conference on Power, Intelligent Computing and Systems (ICPICS)",IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11347258
ieee,68,10.1109/EMRTS.2000.854014,Running-modes of real-time systems: a case-study with mode-automata,F. Maraninchi; Y. Remond,running modes of real time systems a case study with mode automata,f maraninchi y remond,2000,10.1109/EMRTS.2000.854014,Proceedings 12th Euromicro Conference on Real-Time Systems. Euromicro RTS 2000,IEEE Conferences,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=854014
