"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Polychronous Methodology For System Design: A True Concurrency Approach","S. Suhaib; D. Mathaikutty; S. Shukla; J. -p. Talpin","FERMAT Lab Virginia Tech Blacksburg, Blacksburg, USA; FERMAT Lab Virginia Tech Blacksburg, Blacksburg, USA; FERMAT Lab Virginia Tech Blacksburg, USA; INRIA-IRISA, Campus Universitaire de Beaulieu, Rennes, France",2006 IEEE International High Level Design Validation and Test Workshop,"26 Feb 2007","2006","","","211","214","As embedded systems have become pervasive and ubiquitous in contemporary technologies, their development requires highly reliable design approaches. One of these approaches is the so-called synchronous programming paradigm, where its mathematical basis provides the required formal concepts to satisfy correctness expectations. Among these synchronous programming concepts, the multi-clocked model of computation of polychrony stands out for its capability to give high-level and homogeneous descriptions of concurrent systems, where its concurrent parts may evolve asynchronously to each other and synchronize intermittently. In this paper, we propose a 'true concurrency' semantic model of polychrony using pomsets. This formulation of polychrony closes the gap between synchrony and asynchrony by giving a uniform characterization of both synchronous and asynchronous observations by considering the causality and functional dependency structure of a pomset. The results in this paper also show that the existing tagged-signal model for polychrony uses an unnecessary artifact namely, tags, which complicate the semantic theory unduly","1552-6674","1-4244-0679-X","10.1109/HLDVT.2006.319993","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4110092","","Concurrent computing;Synchronization;Computational modeling;Computer networks;Processor scheduling;System testing;Conferences;USA Councils;Embedded system;Mathematical programming","","2","","15","IEEE","26 Feb 2007","8-10 Nov. 2006","8-10 Nov. 2006","IEEE","IEEE Conferences"
"Specifying Robot Reactivity in Procedural Languages","G. Biggs; B. A. MacDonald","Electrical and Computer Engineering, University of Auckland, Auckland, New Zealand; Electrical and Computer Engineering, University of Auckland, Auckland, New Zealand",2006 IEEE/RSJ International Conference on Intelligent Robots and Systems,"15 Jan 2007","2006","","","3735","3740","A key part of programming a robotic system is specifying the responses to events that the robot may encounter. Existing methods of programming responses include event loops, reactive languages and hybrid architectures, none of which meet the specific needs of mobile robot programming. This work presents a design for new semantics for specifying reactivity in mobile robot programs, one that allows for effective specification of reactive behaviour within procedural robot programs. An initial evaluation version is implemented in Python. Events and responses are supported as program objects, and are connected together by new statements. Programmers specify connections between events and responses anywhere within the program code, so connections can easily be changed in response to changes in program and robot state","2153-0866","1-4244-0258-1","10.1109/IROS.2006.281755","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4058986","","Robot programming;Mobile robots;Intelligent robots;Human robot interaction;Embedded system;Programming profession;Visual BASIC;Application software;Computer architecture;Robustness","","6","","24","IEEE","15 Jan 2007","9-15 Oct. 2006","9-15 Oct. 2006","IEEE","IEEE Conferences"
"Schizophrenia and causality in the context of refined clocks","M. Gemünde; J. Brandt; K. Schneider","Embedded Systems Group, Department of Computer Science, University of Kaiserslautern, Germany; Embedded Systems Group, Department of Computer Science, University of Kaiserslautern, Germany; Embedded Systems Group, Department of Computer Science, University of Kaiserslautern, Germany",FDL 2011 Proceedings,"3 Nov 2011","2011","","","1","8","Temporal refinement of synchronous programs is a desirable transformation in many design flows, in particular, to combine modules that work at different levels of abstraction. In synchronous languages, this refinement can be represented in the programs by means of sub-clocks. While this introduction leads to convenient temporal refinement techniques, it significantly complicates the classic causality and reincarnation problems that have to be handled in compilers for imperative synchronous languages. In this paper, we first generalize previous solutions to schizophrenia problems of determining and replicating affected code parts to multiple clocks. Second, our compilation algorithm extracts data dependencies between different clock domains and inserts explicit appropriate synchronization in the intermediate format. Finally, we illustrate the feasibility of our approach with the help of a running example and show the usage by a hardware translation.","1636-9874","978-2-9530504-4-8","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6069475","","Clocks;Computational modeling;Synchronization;Instruction sets;Hardware;Semantics;Context","","","","23","","3 Nov 2011","13-15 Sept. 2011","13-15 Sept. 2011","IEEE","IEEE Conferences"
"A formal approach to component based development of synchronous programs","P. S. Roop; A. Sowmya; S. Ramesh","School of Computer Science and Engineering, University of New South Wales, Sydney, Australia; School of Computer Science and Engineering, University of New South Wales, Sydney, Australia; Department of Computer Science and Engineering, Indian Institute of Technology, Mumbai, India",Proceedings of the ASP-DAC 2001. Asia and South Pacific Design Automation Conference 2001 (Cat. No.01EX455),"7 Aug 2002","2001","","","421","424","Synchronous languages may be used for specification and design of embedded systems. Assuming the availability of a library of synchronous programs, we propose a technique to enable reuse of these programs, via an algorithm for automatic matching of a design function to a program from the library. The algorithm, when successful, generates an interface which automatically adapts the program. The algorithm is based on a new simulation relation called synchronous forced simulation, which is shown to be necessary and sufficient for matching a given pair of function and program.","","0-7803-6633-6","10.1109/ASPDAC.2001.913344","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=913344","","Embedded system;Libraries;Computer science;Design engineering;Databases;Algorithm design and analysis;Industrial relations;Time to market;Internet;Intellectual property","","","","7","IEEE","7 Aug 2002","2-2 Feb. 2001","2-2 Feb. 2001","IEEE","IEEE Conferences"
"A synchronous embedding of Antescofo, a domain-specific language for interactive mixed music","G. Baudart; F. Jacquemard; L. Mandel; M. Pouzet","Ecole Normale Superieure de Cachan, Cachan Cedex, FR; IRCAM Paris, INRIA Paris-Rocquencourt, France; NA; Sorbonne Universite Campus Pierre et Marie Curie, Paris, ÃŽle-de-France, FR",2013 Proceedings of the International Conference on Embedded Software (EMSOFT),"11 Nov 2013","2013","","","1","12","Antescofo is recently developed software for musical score following and mixed music: it automatically, and in real-time, synchronizes electronic instruments with a musician playing on a classical instrument. Therefore, it faces some of the same major challenges as embedded systems. The system provides a programming language used by composers to specify musical pieces that mix interacting electronic and classical instruments. This language is developed with and for musicians and it continues to evolve according to their needs. Yet its semantics has only recently been formally defined. This paper presents a synchronous semantics for the core language of Antescofo and an alternative implementation based on an embedding inside an existing synchronous language, namely ReactiveML. The semantics reduces to a few rules, is mathematically precise and leads to an interpretor of only a few hundred lines. The efficiency of this interpretor compares well with that of the actual implementation: on all musical pieces we have tested, response times have been less than the reaction time of the human ear. Moreover, this embedding permitted the prototyping of several new programming constructs, some of which are described in this paper.","","978-1-4799-1443-2","10.1109/EMSOFT.2013.6658579","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6658579","Synchronous Programming;Language Embedding;Error Handling and Synchronization Strategies;Mixed Music","Synchronization;Instruments;Delays;Semantics;Music;Computer languages;Programming","","1","","15","IEEE","11 Nov 2013","29 Sept.-4 Oct. 2013","29 Sept.-4 Oct. 2013","IEEE","IEEE Conferences"
"Response Time Analysis of the Abort-and-Restart Model under Symmetric Multiprocessing","J. Ras; A. M. K. Cheng","Department of Computer Science, University of Houston, TX, USA; Department of Computer Science, University of Houston, TX, USA",2010 10th IEEE International Conference on Computer and Information Technology,"16 Sep 2010","2010","","","1954","1961","The Priority-Based Functional Reactive Programming (P-FRP) paradigm, aims to improve the programming of embedded microcontrollers. The combination of purely functional programming and cleanly-abortable event handlers, communicating via transactional memory (TM), makes it possible to write programs as stateless collections of functions, thus making them amenable to proofs and type safety. P-FRP implements executions as function evaluations, therefore, there are no ""incomplete"" function evaluations, as in the case of a task's interruption. To use P-FRP in the SMP (Symmetric Multiprocessor) environment, we must first understand the response time of programs written in its anticipated multiprocessor extension. Therefore, the contribution of this paper is the response time analysis for the Abort-and-Restart (ANR) event handler semantics of P-FRP for SMP Real-Time systems. ANR is neither a synchronization protocol nor a true scheduling policy. Instead, it is a policy for running tasks where the most important task is scheduled first. Results are derived for both fixed-priority (i.e., Rate Monotonic) and dynamic-priority (i.e., Earliest Deadline First) scheduling. We can say that the Abort-and-Restart and the TM models are similar, but also distinct, thus allowing our results to be adaptable for the analysis of TM.","","978-1-4244-7548-3","10.1109/CIT.2010.332","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5577989","","Time factors;Processor scheduling;Servers;Interference;Computational modeling;Upper bound;Instruction sets","","5","","25","IEEE","16 Sep 2010","29 June-1 July 2010","29 June-1 July 2010","IEEE","IEEE Conferences"
"Compilation of imperative synchronous programs with refined clocks","M. Gemünde; J. Brandt; K. Schneider","Embedded Systems Group, Department of Computer Science, University of Kaiserslautern, Germany; Embedded Systems Group, Department of Computer Science, University of Kaiserslautern, Germany; Embedded Systems Group, Department of Computer Science, University of Kaiserslautern, Germany",Eighth ACM/IEEE International Conference on Formal Methods and Models for Codesign (MEMOCODE 2010),"26 Aug 2010","2010","","","209","218","To overcome over-synchronization in synchronous programs, we recently introduced clock refinement to our synchronous programming language Quartz. This extension basically allows programmers to refine reaction steps into smaller internal computation steps while maintaining the external behavior. In this paper, we consider the compilation of the extended Quartz programs to synchronous guarded actions. To this end, we first define an intermediate language supporting multiple clocks based on synchronous guarded actions which is the target of the front-end of the compiler and the source of back-end tools that perform efficient analysis and synthesis procedures. We moreover present a compilation scheme to translate the extended Quartz programs to the new intermediate language. We discuss important design considerations and illustrate our approach with the help of some small examples.","","978-1-4244-7886-6","10.1109/MEMCOD.2010.5558633","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5558633","","Clocks;Computational modeling;Instruction sets;Semantics;Synchronization;Integrated circuit modeling;Surface treatment","","1","","25","IEEE","26 Aug 2010","26-28 July 2010","26-28 July 2010","IEEE","IEEE Conferences"
"Timing analysis of esterel programs on general-purpose multiprocessors","L. Ju; B. K. Huynh; A. Roychoudhury; S. Chakraborty","Department of Computer Science, National University of Singapore, Singapore; Department of Computer Science, National University of Singapore, Singapore; Department of Computer Science, National University of Singapore, Singapore; Institute of Real-Time Computer Systems, Technical University Munich, Germany",Design Automation Conference,"26 Jul 2010","2010","","","48","51","Synchronous languages like Esterel have gained wide popularity in certain domains such as avionics. However, platform-specific timing analysis of code generated from Esterel-like specifications have mostly been neglected so far. The growing volume of electronics and software in domains like automotive, calls for formal-specification based code generation to replace manually written and optimized code. Such cost-sensitive domains require tight estimation of timing properties of the generated code. Towards this goal, we propose a scheme for generating C code from Esterel specifications for a multiprocessor platform, followed by timing analysis of the generated code. Due to dependencies across program fragments mapped onto different processors, traditional Worst-Case Execution Time (WCET) analysis techniques for sequential programs cannot applied be to this setting. Our proposed timing analysis technique is tailored to capture such inter-processor code dependencies. Our main novelty stems from how we detect and remove infeasible paths arising from a multiprocessor implementation during our timing analysis. We apply our timing analysis on a number of standard Esterel benchmarks, which show that performing the proposed inter-processor infeasible path elimination may lead to up to 14.3% tighter estimation of the WCRT, thereby leading to resource over-dimensioning and poor design.","0738-100X","978-1-4503-0002-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5523307","Esterel;Synchronous language;Multiprocessor;Timing analysis","Timing;Performance analysis;Synchronous generators;Real time systems;Aerospace electronics;Automotive engineering;Embedded system;Certification;Permission;Synchronization","","2","","15","","26 Jul 2010","13-18 June 2010","13-18 June 2010","IEEE","IEEE Conferences"
"Separate compilation and execution of imperative synchronous modules","E. Vecchie; J. -P. Talpin; K. Schneider","INRIA Rennes Bretagne Atlantique, Rennes, France; INRIA Rennes Bretagne Atlantique, Rennes, France; University of Kaiserslautern, Kaiserslautern, Germany","2009 Design, Automation & Test in Europe Conference & Exhibition","23 Jun 2009","2009","","","1580","1583","The compilation of imperative synchronous languages like Esterel has been widely studied, the separate compilation of synchronous modules has not, and remains a challenge. We propose a new compilation method inspired by traditional sequential code generation techniques to produce coroutines whose hierarchical structure reflects the control flow of the original source code. A minimalistic runtime system executes separately compiled modules.","1558-1101","978-1-4244-3781-8","10.1109/DATE.2009.5090916","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5090916","","Yarn;Automata;Flow graphs;Computational modeling;Computer languages;Domain specific languages;Real time systems;Embedded system;Intellectual property;Virtual prototyping","","2","1","10","","23 Jun 2009","20-24 April 2009","20-24 April 2009","IEEE","IEEE Conferences"
"Synchronous control of reconfiguration in fractal component-based systems - A case study","T. Bouhadiba; Q. Sabah; G. Delaval; E. Rutten","LIG, INRIA Grenoble, Grenoble, France; LIG, INRIA, STMicroelectronics, France; LIG, University Grenoble, France; LIG, INRIA Grenoble, Grenoble, France",2011 Proceedings of the Ninth ACM International Conference on Embedded Software (EMSOFT),"31 Oct 2011","2011","","","309","318","In the context of component-based embedded systems, the management of dynamic reconfiguration in adaptive systems is an increasingly important feature. The Fractal component-based framework, and its industrial instantiation MIND, provide for support for control operations in the lifecycle of components. Nevertheless, the use of complex and integrated architectures make the management of this reconfiguration operations difficult to handle by programmers. To address this issue, we propose to use synchronous languages, which are a complete approach to the design of reactive systems, based on behavior models in the form of transition systems. Furthermore, the design of closed-loop reactive managers of reconfigurations can benefit from formal tools like Discrete Controller Synthesis. In this paper we describe an approach to concretely integrate synchronous reconfiguration managers in Fractal component-based systems. We describe how to model the state space of the control problem, and how to specify the control objectives. We describe the implementation of the resulting manager with the Fractal/Cecilia programming environment, taking advantage of the Comete distributed middleware. We illustrate and validate it with the case study of the Comanche HTTP server on a multi-core execution platform.","","978-1-4503-0714-7","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6064539","Component-based systems;synchronous programming;reconfigurable systems;discrete controller synthesis","Fractals;Servers;Automata;Middleware;Computer architecture;Process control","","","","21","","31 Oct 2011","9-14 Oct. 2011","9-14 Oct. 2011","IEEE","IEEE Conferences"
"From Distributed Sensing to Virtual Sensors: a Domain-Specific Language for Reactive Centralized Edge-Fog-Cloud Computation","A. Damiani; M. Rabozzi; K. M. Chen; L. Di Tucci; M. D. Santambrogio","DEIB, Politecnico di Milano, Milan, Italy; Huxelerate Srl, Milan, Italy; Huxelerate Srl, Milan, Italy; Huxelerate Srl, Milan, Italy; DEIB, Politecnico di Milano, Milan, Italy",2022 IEEE 20th International Conference on Embedded and Ubiquitous Computing (EUC),"4 Apr 2023","2022","","","128","135","The widespread application of specialized embedded devices and their ever-growing sensing capabilities lead to an overload of raw data reaching the Cloud via the Internet of Things. Despite this massive amount of available data, data-driven applications still produce a limited impact on the real world. We argue that this limitation arises from the complexity the developers still face when engineering and deploying solutions on a plurality of embedded devices. Instead of focusing on constructing valuable information from raw data and designing algorithms to exploit it, the developers still have to figure out on their own: how to partition the computation between Edge, Fog, and Cloud; how to move partial results around in highly distributed solutions; how to create abstract interfaces to expose information-rich endpoints. This paper introduces the Virtual Sensor Domain-Specific Language (DSL), which builds the keystone for designing and developing powerful Computer-Aided Design tools and Integrated Development Environments to support the developers in focusing on information manipulation. The Virtual Sensor DSL is built on top of C++ to ease its adoption by the embedded development community. It introduces a reactive approach to data collection, technology mapping, and workload distribution. It allows the creation of adaptable Virtual Sensors, streaming processed information coming from the integration of multiple raw data streams, and it comes with integrated simulation capabilities, supporting prototyping. In this paper, we describe the entities the language offers, how the developers can exploit them, and analyze a real-world use case that benefitted from the Virtual Sensor DSL.","","979-8-3503-9635-5","10.1109/EUC57774.2022.00028","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10086215","domain-specific language;virtual sensor;reactive programming","Cloud computing;Soft sensors;Focusing;Programming;Ubiquitous computing;Partitioning algorithms;DSL","","1","","27","IEEE","4 Apr 2023","9-11 Dec. 2022","9-11 Dec. 2022","IEEE","IEEE Conferences"
"Precision Timed Embedded Systems Using TickPAD Memory","M. Kuo; P. Roop; S. Andalam; N. Patel","Department of Electrical and Computer Engineering, University of Auckland, New Zealand; Department of Electrical and Computer Engineering, University of Auckland, New Zealand; TUM CREATE, Singapore; Department of Electrical and Computer Engineering, University of Auckland, New Zealand",2013 13th International Conference on Application of Concurrency to System Design,"16 Sep 2013","2013","","","206","215","There has been a great deal of impetus for the design of predictable memory such as scratchpad memory. Moreover, static analysis of cache memory is an area of intense research activity. However, there has been minimal development of caches or scratchpads (SPMs) that can exploit the inherent concurrency in synchronous languages. In this paper, we have developed a new memory subsystem, called the TPM (TickPAD memory), for predictable and efficient execution of synchronous programs. TPMs are a hybrid between conventional caches and SPMs: they support dynamic loading of cache lines (like caches) and static allocation of program points (like SPMs). However, the dynamic loading is predictably managed through statically loaded TPM commands. Extensive benchmarking comparing TPMs to SPMs and direct mapped caches reveal that TPM achieves 8.5% WCRT reduction compared to locked SPMs, 12.3% WCRT reduction compared to thread multiplexed SPM and 13.4% WCRT reduction compared to direct mapped caches, while also keeping the analysis time comparatively small.","1550-4808","978-0-7695-5035-0","10.1109/ACSD.2013.30","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6598356","-Synchronous;Memory Hierarchy;Worst Case Analysis","Pipelines;Switches;Context;Resource management;Prefetching;Clocks","","2","","18","IEEE","16 Sep 2013","8-10 July 2013","8-10 July 2013","IEEE","IEEE Conferences"
"PyroFocus: A Deep Learning Approach to Real-Time Wildfire Detection in Multispectral Remote Sensing Imagery","M. Moussa; A. Williams; S. Roffe; D. Morton","NASA Goddard Space Flight Center, USA; NASA Goddard Space Flight Center, USA; NASA Goddard Space Flight Center, USA; NASA Goddard Space Flight Center, USA",2025 IEEE/CVF International Conference on Computer Vision Workshops (ICCVW),"23 Feb 2026","2025","","","2855","2864","Rapid and accurate wildfire detection and quantification are crucial for emergency response and environmental management. In airborne and spaceborne missions, it is useful for real-time detection algorithms to not only classify whether the observed area consists of no fire, active fire or post-fire, but also to discriminate among varying fire intensities. Hyperspectral and multispectral thermal imagers provide sufficient spectral information to address these challenges; however, high data dimensionality and limited onboard resources complicate real-time processing. With wildfires becoming more common, the need for real-time detection is crucial for successful wildfire management and damage mitigation. It is therefore imperative for on-board solutions to achieve both high accuracy and low inference latency at minimal computational cost. In this work, we present several contributions divided into two main parts. First, we systematically evaluate multiple cutting-edge deep learning architectures, such as custom Convolutional Neural Networks (CNN) and Transformer-based models for multi-class fire classification. Second, we propose a novel adaptation of a two-stage pipeline, which we call PyroFocus, consisting of classification of fires and fire radiative power (FRP) regression or image segmentation, designed to significantly reduce inference times and computational requirements for onboard wildfire detection in airborne and spaceborne applications. We evaluate model accuracy, inference latency, and computational cost to identify the most effective solution for resource-constrained environments. Our study leverages a dataset from NASA's MODIS/ASTER Airborne Simulator (MASTER), which provides data similar to that of an in-house next-generation fire detection sensor, NASA's Compact Fire Imager (CFI) [19]. Experimental results indicate that the proposed two-stage pipeline provides favorable trade-offs among inference speed and accuracy, demonstrating strong potential for edge deployment in future wildfire monitoring missions.","2473-9944","979-8-3315-8988-2","10.1109/ICCVW69036.2025.00298","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11375286","Deep learning;Machine learning;AI;ML;Artificial Intelligence;Remote Sensing;Wildfires","Adaptation models;Image segmentation;Wildfires;Accuracy;Computational modeling;Biological system modeling;Atmospheric modeling;Pipelines;NASA;Real-time systems","","3","","28","USGov","23 Feb 2026","19-20 Oct. 2025","19-20 Oct. 2025","IEEE","IEEE Conferences"
"Rule-Based Approaches for Equivalence Checking of SpecC Programs","S. Shankar; M. Fujita","CUNY, City University of New York, NY, USA; University of Tokyo, Tokyo, Japan",2008 6th ACM/IEEE International Conference on Formal Methods and Models for Co-Design,"20 Jun 2008","2008","","","39","48","This paper describes a rule-based approach for equivalence checking of reactive systems. The approach is based on new types of dependence and flow graphs that are more appropriate for reactive languages than traditional notions intended for transformational languages. Equivalence rules utilizing this static dependence and flow information are derived from language semantics. The rules are then applied in a bottom-up fashion, corresponding to the structures of the programs being checked, until equivalence is shown. A prototype toolset has been implemented, and results indicate speedups of several orders of magnitude over more traditional equivalence checkers. The paper describes our approach and tools, and also outlines how our methods can be used in a general equivalence checking system.","","978-1-4244-2417-7","10.1109/MEMCOD.2008.4547685","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4547685","","Prototypes;Embedded system;Software engineering;Hardware;Cities and towns;Flow graphs;System-level design;Control system synthesis;System-on-a-chip;Pattern recognition","","3","","20","IEEE","20 Jun 2008","5-7 June 2008","5-7 June 2008","IEEE","IEEE Conferences"
"SmartWall: An Infrastructure for Sensory and Computation-Capable Buildings Using Sustainable and Low-Cost Smart Materials","M. I. Hossain; S. N. Zisad; N. Uddin; R. Hasan","Dept. of Computer Science, University of Alabama at Birmingham, Birmingham, AL, USA; Dept. of Computer Science, University of Alabama at Birmingham, Birmingham, AL, USA; Dept. of Civil, Construction & Env. Eng., University of Alabama at Birmingham, Birmingham, AL, USA; Dept. of Computer Science, University of Alabama at Birmingham, Birmingham, AL, USA",2025 IEEE World Forum on Public Safety Technology (WF-PST),"4 Mar 2026","2025","","","166","171","As urban populations grow and climate-related risks intensify, the need for resilient, intelligent, and sustainable infrastructure has never been more critical. Traditional building systems often lack the real-time awareness and adaptability required to ensure safety, efficiency, and long-term sustainability. In this paper, we present the design and implementation of SmartWall - a sensory and compute-capable building construction component, developed using low-cost materials and equipped with multimodal IoT sensors to capture both environmental and structural data in real-time. These sensors monitor temperature, humidity, fire hazards, and movement through accelerometer and gyroscope readings. Sensor data is processed locally by a Raspberry Pi 5 unit and then wirelessly transmitted to a real-time dashboard for monitoring and intervention. This capability supports emergency decision-making and enhances situational awareness for public safety officials. To enhance power efficiency and integration, we introduce wireless charging via induction coils, eliminating the need for external wiring. Furthermore, we incorporate FRP (Fiber Reinforced Polymer) enclosures based on advanced 3D sandwich composite technology to encapsulate the sensing components. These enclosures offer superior protection against harsh environmental conditions such as fire, impact, and moisture, while allowing secure wire routing and sensor mounting for functionality and durability. We also address practical challenges such as power management, thermal buildup, and system resilience, proposing solutions that enhance the system's reliability. With SmartWall, we can build smart and affordable infrastructure systems to enhance sustainability and public safety in future smart cities.","","979-8-3315-8977-6","10.1109/WF-PST65083.2025.00032","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11415907","Smart Bricks;IoT Sensors;Real-time Monitoring;Public Safety","Temperature sensors;Temperature measurement;Smart cities;Prototypes;Humidity;Real-time systems;Public security;Sensors;Sustainable development;Intelligent sensors","","","","16","IEEE","4 Mar 2026","23-25 Sept. 2025","23-25 Sept. 2025","IEEE","IEEE Conferences"
"Running-modes of real-time systems: a case-study with mode-automata","F. Maraninchi; Y. Remond","VERIMAG Centre Equation, Vignate, Greece; VERIMAG Centre Equation, Vignate, Greece",Proceedings 12th Euromicro Conference on Real-Time Systems. Euromicro RTS 2000,"6 Aug 2002","2000","","","257","264","Real-time systems, in particular regulation systems, are often specified using the notion of running modes. On the other hand, the family of synchronous languages has been very successful in offering formally defined languages and programming environments for safety-critical systems. We are particularly interested in the data-flow language Lustre, which is well-suited for the description of regulation systems. We propose to extend Lustre with a new construct devoted to the description of running modes in regulation systems. This language extension is based upon the mathematical model of mode automata. We now have a running implementation of this extension. In this paper, we comment on a case study proposed by Saab, and argue for the introduction of language features that are devoted to the expression of modes, from different points of view: readability, efficiency of the compiled sequential code, ability to transmit hints to verification tools, accurate evaluation of the worst-case execution time (WCET), static analysis of the resources used, etc.","1068-3070","0-7695-0734-4","10.1109/EMRTS.2000.854014","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=854014","","Real time systems;Mathematical model;Job shop scheduling;Equations;Cost accounting;Aircraft;Service robots;Documentation;Formal specifications;Embedded system","","2","","19","IEEE","6 Aug 2002","19-21 June 2000","19-21 June 2000","IEEE","IEEE Conferences"
"Design of an Autonomous Intelligent Vehicle Based on Nonlinear PID Control","C. Yu; Y. Li; T. Yan; J. Zhang","Shandong University, Qingdao, China; Shandong University, Qingdao, China; Shandong University, Qingdao, China; Shandong University, Qingdao, China","2025 IEEE 7th International Conference on Power, Intelligent Computing and Systems (ICPICS)","28 Jan 2026","2025","","","1788","1793","This paper proposes a hybrid control architecture for lightweight unmanned vehicle control systems, based on nonlinear control. The system employs a multithreaded programming model to achieve parallel processing of perception, recognition, and control tasks on resource-constrained platforms. The system uses a dual-camera coordination mechanism to divide image acquisition perspectives, enhancing image frame processing efficiency and recognition redundancy. To enhance the trajectory tracking stability of the system in complex paths, the software layer integrates image coordinate transformation and nonlinear control algorithms. At the same time, it integrates the HSV tuning tool and the image grayscale histogram enhancement module to improve the robustness and adaptability of target recognition. At the remote end, the system combines FRP intranet penetration with a 5G communication module to build a low-latency remote control platform, achieving stable remote control operations. On this basis, this paper constructs a complete hardware and software system and completes field verification based on a 400 -meter outdoor standard test site to validate the feasibility of the solution. The image processing and nonlinear PID control algorithm in this framework is expected to further advance the technology of autonomous intelligent vehicles.","2834-8567","979-8-3315-2633-7","10.1109/ICPICS66386.2025.11347258","Shandong University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11347258","Lightweight smart car;autonomous driving;multi-threaded parallel architecture;image recognition;remote control","PI control;Image recognition;Trajectory tracking;Target recognition;Software algorithms;PD control;Remote control;Autonomous vehicles;Tuning;Standards","","","","16","IEEE","28 Jan 2026","29-31 Aug. 2025","29-31 Aug. 2025","IEEE","IEEE Conferences"
"On-Chip Sparse Learning Acceleration With CMOS and Resistive Synaptic Devices","J. -s. Seo; B. Lin; M. Kim; P. -Y. Chen; D. Kadetotad; Z. Xu; A. Mohanty; S. Vrudhula; S. Yu; J. Ye; Y. Cao","Department of Electrical, Computer and Energy Engineering, Arizona State University, Tempe, AZ, USA; Department of Computational Medicine and Bioinformatics, University of Michigan, Ann Arbor, MI, USA; Department of Electrical, Computer and Energy Engineering, Arizona State University, Tempe, AZ, USA; Department of Electrical, Computer and Energy Engineering, Arizona State University, Tempe, AZ, USA; Department of Electrical, Computer and Energy Engineering, Arizona State University, Tempe, AZ, USA; Department of Electrical, Computer and Energy Engineering, Arizona State University, Tempe, AZ, USA; Department of Electrical, Computer and Energy Engineering, Arizona State University, Tempe, AZ, USA; School of Computing, Informatics and Decision System Engineering, Arizona State University, Tempe, AZ, USA; Department of Electrical, Computer and Energy Engineering, Arizona State University, Tempe, AZ, USA; Department of Computational Medicine and Bioinformatics, University of Michigan, Ann Arbor, MI, USA; Department of Electrical, Computer and Energy Engineering, Arizona State University, Tempe, AZ, USA",IEEE Transactions on Nanotechnology,"9 Nov 2015","2015","14","6","969","979","Many recent advances in sparse coding led its wide adoption in signal processing, pattern classification, and object recognition applications. Even with improved performance in state-of-the-art algorithms and the hardware platform of CPUs/GPUs, solving a sparse coding problem still requires expensive computations, making real-time large-scale learning a very challenging problem. In this paper, we cooptimize algorithm, architecture, circuit, and device for real-time energy-efficient on-chip hardware acceleration of sparse coding. The principle of hardware acceleration is to recognize the properties of learning algorithms, which involve many parallel operations of data fetch and matrix/vector multiplication/addition. Today's von Neumann architecture, however, is not suitable for such parallelization, due to the separation of memory and the computing unit that makes sequential operations inevitable. Such principle drives both the selection of algorithms and the design evolution from CPU to CMOS application-specific integrated circuits (ASIC) to parallel architecture with resistive crosspoint array (PARCA) that we propose. The CMOS ASIC scheme implements sparse coding with SRAM dictionaries and all-digital circuits, and PARCA employs resistive-RAM dictionaries with special read and write circuits. We show that 65 nm implementation of the CMOS ASIC and PARCA scheme accelerates sparse coding computation by $394$ and $2140\times$, respectively, compared to software running on a eight-core CPU. Simulated power for both hardware schemes lie in the milli-Watt range, making it viable for portable single-chip learning applications.","1941-0085","","10.1109/TNANO.2015.2478861","Raytheon through the US National Science Foundation (NSF); I/UCRC Center for Embedded Systems; Samsung GRO program; NSF PFI-BIC(grant numbers:1237856); NSF FRP(grant numbers:1230401); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7268884","Crossbar array;hardware acceleration;low power;resistive memory;sparse coding;unsupervised learning;VLSI;Crossbar array;hardware acceleration;low power;resistive memory;sparse coding;unsupervised learning;VLSI","Dictionaries;Hardware;CMOS integrated circuits;Application specific integrated circuits;Unsupervised learning;Very large scale integration","","22","","34","IEEE","15 Sep 2015","Nov. 2015","","IEEE","IEEE Journals"
